"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"ABT199","0","N","E","E","E","N","N","B1","LB","LB_","0","0","0","0","0","0",1
"ABT473","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABT618","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0","0",1
"ABT735","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABT738","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABT880","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABV060","0","N","E","E","E","N","N","B1","LB","LB","S","L_B_","L_B_","L_B_","L_B","LB",1
"ABV360","0","N","E","E","N","B1","LB","LB_","L_B","LB","LB","LB","LB_","LB","LB","LB",1
"ABV496","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABV552","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABV560","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABV592","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABV643","0","N","E","E","N","N","B1","L_B","S","LB_","LB_","L_B","LB_","LB_","LB","LB",1
"ABV696","0","N","E","E","N","B1","LB","LB","LB","LB_","0","0","0","0","0","0",1
"ABV752","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABV783","0","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0",1
"ABV880","0","N","E","E","E","N","N","0","0","0","0","0","0","0","0","0",1
"ABZ292","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ507","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ510","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABZ548","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ599","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABZ715","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ816","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ABZ861","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ916","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABZ979","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACA052","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACA093","0","0","N","E","E","N","N","B1","LB","LB","LB","LB","L_B","L_B","LB","L_B_",1
"ACA130","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACA156","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACA385","0","0","N","E","E","E","E","E","E","E","E","E","B1","0","0","0",1
"ACA398","0","0","N","E","E","E","N","B1","LB","LB","0","0","0","0","0","0",1
"ACB003","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ACB062","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACB081","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACB084","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACB099","0","0","N","E","E","E","E","E","N","E","E","E","E","E","E","N",1
"ACB128","0","0","N","E","E","E","E","E","E","N","0","0","0","0","0","0",1
"ACB258","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACB314","0","0","N","E","E","E","E","E","E","E","E","E","E","E","E","N",1
"ACB398","0","0","N","E","E","N","B1","LB","LB","LB","LB","LB","L_B","LB","L_B","LB",1
"ACB448","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ACB486","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACB516","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACB655","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACB703","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACB755","0","0","0","N","E","E","N","N","N","N","B1","S","LB_","N","0","0",1
"ACB775","0","0","0","N","E","E","E","E","E","E","E","N","0","0","0","0",1
"ACB804","0","0","0","N","E","E","E","E","E","E","E","E","E","E","E","N",1
"ACB811","0","0","0","N","E","E","N","N","0","0","0","0","0","0","0","0",1
"ACB814","0","0","0","N","E","E","N","B1","L_B_","LB","S","S","L_B","LB","LB","LB_",1
"ACB873","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACB911","0","0","N","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACD169","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACD194","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACD196","0","0","0","N","E","E","N","N","N","0","0","0","0","0","0","0",1
"ACD237","0","0","0","N","E","N","N","N","B1","LB","LB","LB_","LB","L_B","L_B","LB",1
"ACD261","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACD269","0","0","0","N","E","E","N","B1","L_B_","0","0","0","0","0","0","0",1
"ACD273","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACD352","0","0","0","N","E","E","N","N","0","0","0","0","0","0","0","0",1
"ACD358","0","0","0","N","E","E","N","N","B1","L_B","L_B_","L_B","0","0","0","0",1
"ACD431","0","0","0","N","E","E","E","N","B1","L_B","S","L_B","0","0","0","0",1
"ACD441","0","0","0","N","E","N","E","N","B1","0","0","0","0","0","0","0",1
"ACD486","0","0","0","N","E","E","N","N","B1","LB","L_B_","L_B","0","0","0","0",1
"ACD595","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACD602","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACD635","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACD644","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACD697","0","0","0","N","E","E","N","N","N","N","B1","LB","LB","LB","LB","LB",1
"ACD710","0","0","0","N","E","E","N","B1","L_B","LB","S","LB_","L_B","LB","S","LB",1
"ACD832","0","0","0","N","E","E","N","B1","0","0","0","0","0","0","0","0",1
"ACD839","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACD847","0","0","0","N","E","E","B1","LB","LB_","LB","0","0","0","0","0","0",1
"ACD877","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACD911","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACE121","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACE139","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACE168","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACE258","0","0","0","N","E","E","E","B1","L_B","L_B","L_B_","LB","LB","LB","LB","LB",1
