"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"ACV011","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACV096","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACV194","0","0","0","0","0","0","N","E","E","B1","0","0","0","0","0","0",1
"ACV595","0","0","0","0","0","0","N","E","E","E","B1","0","0","0","0","0",1
"ACV715","0","0","0","0","0","0","N","N","0","0","0","0","0","0","0","0",1
"ACV765","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACX194","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACX269","0","0","0","0","0","0","N","E","E","E","E","E","E","E","E","N",1
"ACX335","0","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0",1
"ACX381","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0",1
"ACX389","0","0","0","0","0","0","N","E","E","N","N","B1","LB","LB","LB","LB",1
"ACX394","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACX479","0","0","0","0","0","0","N","E","E","N","N","N","B1","LB","L_B","LB",1
"ACX564","0","0","0","0","0","0","N","E","E","E","E","N","N","B1","LB","LB",1
"ACX572","0","0","0","0","0","0","N","E","E","E","E","E","N","0","0","0",1
"ACX589","0","0","0","0","0","0","N","E","E","E","E","E","N","E","E","N",1
"ACX653","0","0","0","0","0","0","N","E","E","N","N","0","0","0","0","0",1
"ACX786","0","0","0","0","0","0","N","E","E","E","E","B1","0","0","0","0",1
"ACX808","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0",1
"ACX837","0","0","0","0","0","0","N","E","E","N","B1","LB","LB","LB","LB_","LB",1
"ACX881","0","0","0","0","0","0","N","E","N","N","N","B1","LB_","LB_","L_B","LB",1
"ACX882","0","0","0","0","0","0","N","E","N","N","B1","S","L_B","LB","LB","LB_",1
"ACX883","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACX884","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0","0",1
"ACX885","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0","0",1
"ACX967","0","0","0","0","0","0","N","E","E","N","N","0","0","0","0","0",1
"ACX983","0","0","0","0","0","0","N","E","E","N","N","B1","S","LB","LB_","LB",1
"ACZ064","0","0","0","0","0","0","N","E","E","E","N","B1","LB_","LB_","0","0",1
"ACZ164","0","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0",1
"ACZ465","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ACZ670","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ACZ690","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ACZ954","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ADA040","0","0","0","0","0","0","N","E","E","N","B1","0","0","0","0","0",1
"ADA050","0","0","0","0","0","0","N","E","N","N","N","0","0","0","0","0",1
"ADA100","0","0","0","0","0","0","N","E","E","E","N","B1","L_B_","0","0","0",1
"ADA337","0","0","0","0","0","0","N","E","N","B1","LB_","LB","LB_","LB","LB","LB",1
"ADA343","0","0","0","0","0","0","N","E","E","E","E","B1","0","0","0","0",1
"ADA368","0","0","0","0","0","0","0","N","E","E","E","E","E","E","E","N",1
"ADA508","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0",1
"ADA513","0","0","0","0","0","0","0","0","N","E","E","E","N","N","B1","L_B",1
"ADA758","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0",1
"ADA843","0","0","0","0","0","0","0","0","N","E","E","E","E","N","0","0",1
"ADA868","0","0","0","0","0","0","0","0","N","E","E","E","N","B1","N","N",1
"ADA871","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADA915","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADA973","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","S","L_B_",1
"ADA980","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADA984","0","0","0","0","0","0","0","0","0","N","E","E","N","E","E","N",1
"ADB087","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0","0",1
"ADB160","0","0","0","0","0","0","N","E","N","N","N","0","0","0","0","0",1
"ADB286","0","0","0","0","0","0","N","E","E","E","E","E","N","0","0","0",1
"ADB418","0","0","0","0","0","0","N","E","E","E","E","N","0","0","0","0",1
"ADB750","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ADB751","0","0","0","0","0","0","N","N","0","0","0","0","0","0","0","0",1
"ADB941","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0",1
"ADB996","0","0","0","0","0","0","0","N","E","E","N","B1","LB","LB","LB_","LB",1
"ADB999","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ADC339","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0",1
"ADC458","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ADD609","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB","LB","LB",1
"ADE000","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0",1
"ADE001","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","N",1
"ADE002","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","0",1
"ADE003","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE004","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE005","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","B1",1
"ADE006","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1","N",1
"ADE007","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE008","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","B1",1
"ADE009","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","L_B_","LB",1
"ADE010","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE011","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","N",1
"ADE012","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","S","LB",1
"ADE013","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE014","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","N",1
"ADE015","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE016","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB","LB",1
"ADE017","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE018","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","B1",1
"ADE019","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1","L_B",1
"ADE020","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1","LB_",1
"ADE021","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE022","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE023","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE024","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE025","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE026","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE027","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB","LB",1
"ADE028","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1","LB_",1
"ADE029","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADE030","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","N",1
"ADE031","0","0","0","0","0","0","0","0","0","N","E","E","B1","0","0","0",1
"ADE032","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE033","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","S","L_B",1
"ADE034","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADE035","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE036","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N","B1",1
"ADE037","0","0","0","0","0","0","0","0","0","N","E","N","N","N","B1","LB",1
"ADE038","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB","LB",1
"ADE039","0","0","0","0","0","0","0","0","0","N","E","E","E","N","N","B1",1
"ADE040","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE041","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE042","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","0","0",1
"ADE043","0","0","0","0","0","0","0","0","0","N","N","N","N","N","N","B1",1
"ADE044","0","0","0","0","0","0","0","0","0","N","E","N","N","0","0","0",1
"ADE045","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE046","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADE047","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0",1
"ADE049","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE050","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE051","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE052","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADE053","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADE054","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE055","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE056","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADE057","0","0","0","0","0","0","0","0","0","0","0","N","E","N","N","0",1
"ADE058","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADE059","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADE060","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE061","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE062","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE063","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","B1",1
"ADE064","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADE065","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE066","0","0","0","0","0","0","0","0","0","0","0","N","E","N","N","B1",1
"ADE067","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE068","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE069","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADE070","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE071","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1",1
"ADE072","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE074","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE075","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE076","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE077","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE078","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE079","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE080","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE081","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADE691","0","0","0","0","0","0","0","0","N","E","N","E","E","E","E","N",1
"ADE692","0","0","0","0","0","0","0","0","N","E","N","E","N","N","N","N",1
"ADE930","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADE985","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADE986","0","0","0","0","0","0","0","0","N","E","E","E","B1","0","0","0",1
"ADE987","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADE997","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADG020","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ADG081","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0",1
"ADG092","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ADG223","0","0","0","0","0","0","0","N","E","E","E","E","E","B1","0","0",1
"ADG411","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","LB","L_B_",1
"ADG418","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ADG430","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG432","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB","LB","LB_",1
"ADG434","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADG435","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG436","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG437","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADG438","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB_","S","LB_",1
"ADG439","0","0","0","0","0","0","0","0","N","E","E","B1","S","L_B","N","N",1
"ADG440","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG441","0","0","0","0","0","0","0","0","N","E","E","N","N","N","0","0",1
"ADG442","0","0","0","0","0","0","0","0","N","E","E","E","N","N","B1","L_B",1
"ADG443","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADG444","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0","0",1
"ADG445","0","0","0","0","0","0","0","0","N","E","E","N","N","B1","LB","L_B_",1
"ADG446","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0","0",1
"ADG447","0","0","0","0","0","0","0","0","N","E","E","E","N","N","N","N",1
"ADG448","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG449","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG470","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0","0",1
"ADG479","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0",1
"ADG513","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ADG559","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ADG579","0","0","0","0","0","0","0","N","E","E","N","B1","L_B_","L_B","L_B_","LB",1
"ADG582","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ADG583","0","0","0","0","0","0","0","N","E","E","E","E","N","B1","0","0",1
"ADG584","0","0","0","0","0","0","0","0","N","E","E","E","E","E","E","N",1
"ADG585","0","0","0","0","0","0","0","0","N","E","E","E","B1","LB","LB","LB_",1
"ADG586","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG587","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG588","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG589","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0","0",1
"ADG590","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG591","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG592","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG593","0","0","0","0","0","0","0","0","N","E","E","E","E","E","E","N",1
"ADG598","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADG599","0","0","0","0","0","0","0","0","N","E","N","N","N","B1","LB","LB",1
"ADG600","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0",1
"ADG602","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADG613","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADG644","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADG646","0","0","0","0","0","0","0","0","N","E","E","E","N","B1","LB_","L_B",1
"ADG659","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADG736","0","0","0","0","0","0","0","0","N","E","E","N","E","E","B1","LB",1
"ADG750","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0",1
"ADG769","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADG906","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0",1
"ADK081","0","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0",1
"ADK082","0","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0",1
"ADK091","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADK313","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADK357","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADK382","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADK415","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADK585","0","0","0","0","0","0","0","0","N","E","E","E","N","N","B1","LB",1
"ADL409","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADL415","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADL483","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADN043","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0",1
"ADN044","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADN159","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN181","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","0","0",1
"ADN202","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN254","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","L_B_","LB",1
"ADN301","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADN328","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN365","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0",1
"ADN414","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0",1
"ADN439","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN453","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0","0",1
"ADN481","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADN495","0","0","0","0","0","0","0","0","0","N","E","E","E","E","E","N",1
"ADN513","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN560","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN609","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN709","0","0","0","0","0","0","0","0","0","N","E","E","N","N","0","0",1
"ADN741","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN757","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0","0",1
"ADN762","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN763","0","0","0","0","0","0","0","0","0","0","N","E","N","N","N","N",1
"ADN764","0","0","0","0","0","0","0","0","0","0","N","E","E","B1","L_B_","0",1
"ADN765","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1",1
"ADN766","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0","0",1
"ADN767","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN768","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN769","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN770","0","0","0","0","0","0","0","0","0","0","N","E","N","B1","0","0",1
"ADN771","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN772","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN773","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN774","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB",1
"ADN775","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN776","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB",1
"ADN777","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN778","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","N",1
"ADN779","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN780","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN781","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN782","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN783","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N","N",1
"ADN784","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN785","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN786","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN787","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","LB",1
"ADN788","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN789","0","0","0","0","0","0","0","0","0","0","N","E","N","B1","S","L_B",1
"ADN790","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0","0",1
"ADN791","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN792","0","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","L_B",1
"ADN793","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN794","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","0",1
"ADN795","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN796","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN797","0","0","0","0","0","0","0","0","0","0","N","E","N","N","0","0",1
"ADN799","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADN806","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN823","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","B1",1
"ADN832","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADN868","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","0",1
"ADN881","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0","0",1
"ADN899","0","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB",1
"ADN907","0","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","LB",1
"ADN908","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","B1",1
"ADN988","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADP057","0","0","0","0","0","0","0","0","0","0","N","E","E","E","E","N",1
"ADP097","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADP126","0","0","0","0","0","0","0","0","0","0","N","E","N","N","B1","N",1
"ADP170","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N","B1",1
"ADP267","0","0","0","0","0","0","0","0","0","0","N","E","E","E","E","N",1
"ADP272","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","N",1
"ADP469","0","0","0","0","0","0","0","0","0","0","N","E","E","E","E","B1",1
"ADP488","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1","L_B",1
"ADP500","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADP574","0","0","0","0","0","0","0","0","0","0","N","E","N","N","0","0",1
"ADP597","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","N",1
"ADP633","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0","0",1
"ADP652","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","B1",1
"ADP692","0","0","0","0","0","0","0","0","0","0","N","E","E","E","E","N",1
"ADP708","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N","N",1
"ADP723","0","0","0","0","0","0","0","0","0","0","N","E","E","E","E","N",1
"ADP724","0","0","0","0","0","0","0","0","0","0","N","E","E","N","E","B1",1
"ADP766","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADP767","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0","0",1
"ADP768","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP769","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP770","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP771","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP772","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP773","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP774","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP775","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0",1
"ADP776","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP777","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP778","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP779","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP780","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP781","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP782","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP783","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP784","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP785","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1",1
"ADP786","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP787","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP788","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP789","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP790","0","0","0","0","0","0","0","0","0","0","0","N","E","N","N","0",1
"ADP791","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP792","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP793","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1",1
"ADP794","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP795","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADP796","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP797","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP798","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0","0",1
"ADP799","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","B1",1
"ADP825","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","N",1
"ADP833","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0",1
"ADP875","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0",1
"ADP901","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP916","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADP989","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0",1
"ADR003","0","0","0","0","0","0","0","0","0","0","0","N","E","E","E","N",1
"ADR132","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADR214","0","0","0","0","0","0","0","0","0","0","0","N","E","N","0","0",1
"ADR234","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N","0",1
"ADR240","0","0","0","0","0","0","0","0","0","0","0","N","E","N","N","0",1
"ADR262","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0","0",1
"ADR263","0","0","0","0","0","0","0","0","0","0","0","0","N","E","E","N",1
